Center Name,Legal Name,Building,Street,Borough,ZipCode,address,status,street,borough,zip,cb,cwz,latitude,longitude,bbl,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,index_age,indextype,index
Baby Steps Day Care Center Inc,Baby Steps Day Care Center Inc,64-11,FLEET STREET,QUEENS,11374,"64-11 FLEET STREET,QUEENS 11374",OK,64-11 FLEET STREET,QUEENS,11374,406,QN2,40.719568,-73.858935,4031510077,718-451-6094,103807,9/13/2024,Permitted,2 YEARS - 5 YEARS,36,DC33846,PRESCHOOL,GDC,Child Care - Pre School,4533323,,9/13/2016,Y,16.6667,21.905,6,11.9769,16.6667,6.1285,16.6667,18.9541,5,1,17
BABY STEPS DAY CARE CENTER INC,Baby Steps Daycare Center Inc,65-59,Alderton  Street,QUEENS,11374,"65-59 Alderton  Street,QUEENS 11374",OK,65-59 ALDERTON STREET,QUEENS,11374,406,QN2,40.720021,-73.859176,4031510080,347-644-5528,103809,9/15/2024,Permitted,2 YEARS - 5 YEARS,36,DC34866,PRESCHOOL,GDC,Child Care - Pre School,4074524,,9/15/2016,Y,16.6667,21.905,5,11.9769,0,6.1285,16.6667,18.9541,5,1,17
"BABY STEPS DAYCARE CENTER II, LLC","BABY STEPS DAYCARE CENTER II, LLC",112-12,76 ROAD,QUEENS,11375,"112-12 76 ROAD,QUEENS 11375",OK,112-12 76 ROAD,QUEENS,11375,406,QN2,40.717389,-73.834579,4022660090,347-960-8334,96099,9/1/2023,Permitted,2 YEARS - 5 YEARS,58,DC31717,PRESCHOOL,GDC,Child Care - Pre School,4311398,nybabysteps.com,9/1/2015,Y,20,21.905,9,11.9769,0,6.1285,20,18.9541,5,1,17
BACKPACKS AND BINOCULARS,Backpacks + Binoculars,38,Lafayette Avenue,BROOKLYN,11217,"38 Lafayette Avenue,BROOKLYN 11217",OK,38 LAFAYETTE AVENUE,BROOKLYN,11217,302,BK2,40.686918,-73.977284,3021120027,929-397-0502,105378,9/15/2023,Permitted,0 YEARS - 16 YEARS,0,DC40572,ALL AGE CAMP,Camp,Camp,3059210,,6/16/2021,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
BAIS BROCHO D KARLIN STOLIN,Bais Brocho D Karlin Stolin,4314,10 AVENUE,BROOKLYN,11219,"4314 10 AVENUE,BROOKLYN 11219",OK,4314 10 AVENUE,BROOKLYN,11219,312,BK4,40.642241,-73.995384,3056010042,718-853-1222,103954,2/23/2116,Active,2 YEARS - 5 YEARS,0,DC35290,Preschool,SBCC,School Based Child Care,3136036,,,,,,5,8.0094,,,,,5,4,24
BAIS CHAYA ESTHER,BAIS CHAYA ESTHER,1020,56TH STREET,BROOKLYN,11219,"1020 56TH STREET,BROOKLYN 11219",OK,1020 56 STREET,BROOKLYN,11219,312,BK4,40.634646,-74.002072,3056880012,718-438-1722,,1/23/2115,Active,2 YEARS - 5 YEARS,0,DC24786,PRESCHOOL,SBCC,School Based Child Care,3139972,,,,,,5,8.0094,,,,,5,4,24
BAIS ESTHER SCHOOL,BAIS ESTHER SCHOOL,1353,50 STREET,BROOKLYN,11219,"1353 50 STREET,BROOKLYN 11219",OK,1353 50 STREET,BROOKLYN,11219,312,BK4,40.633781,-73.991544,3056420053,718-436-1234,,1/23/2115,Active,3 YEARS - 5 YEARS,129,DC12112,PRESCHOOL,SBCC,School Based Child Care,3137766,,,,100,45.1817,14,8.0094,0,23.3017,100,35.2291,8,4,136
BAIS ESTHER SCHOOL,BAYIS ESTER,1363,50 STREET,BROOKLYN,11219,"1363 50 STREET,BROOKLYN 11219",OK,1363 50 STREET,BROOKLYN,11219,312,BK4,40.633685,-73.991389,3056420048,718-436-1234,,1/1/1900,Active,3 YEARS - 5 YEARS,0,DC40444,PRESCHOOL,SBCC,School Based Child Care,3137765,,,,,,0,8.0094,,,,,8,4,136
BAIS FRIEDA CHILD CARE,BAIS FRIEDA CHILD CARE CENTER INC.,1326,EAST 10TH STREET,BROOKLYN,11230,"1326 EAST 10TH STREET,BROOKLYN 11230",OK,1326 EAST   10 STREET,BROOKLYN,11230,312,BK4,40.616671,-73.964668,3065720017,718-975-2644,28638,12/5/2024,Permitted,2 YEARS - 5 YEARS,54,DC22324,PRESCHOOL,GDC,Child Care - Pre School,3173091,,12/5/2012,Y,0,21.905,26,11.9769,0,6.1285,0,18.9541,5,1,17
Bais Frima Chinuch Center,BAIS FRIMA CHINUCH CENTER,1377,42 STREET,BROOKLYN,11219,"1377 42 STREET,BROOKLYN 11219",OK,1377 42 STREET,BROOKLYN,11219,312,BK4,40.638033,-73.98651,3055940046,718-972-7666,,7/19/2116,Active,3 YEARS - 5 YEARS,0,DC1053,PRESCHOOL,SBCC,School Based Child Care,3135754,,,,100,45.1817,3,8.0094,0,23.3017,100,35.2291,8,4,136
BAIS ROCHEL SCHOOL OF BORO PARK,UNITED TALMUNDICAL ACADEMY OF BORO PARK,5301,14 AVENUE,BROOKLYN,11219,"5301 14 AVENUE,BROOKLYN 11219",OK,5301 14 AVENUE,BROOKLYN,11219,312,BK4,40.631369,-73.992326,3056710001,718-438-7822,,1/23/2115,Active,2 YEARS - 5 YEARS,175,DC22752,PRESCHOOL,SBCC,School Based Child Care,3139072,,,,,,1,8.0094,,,,,5,4,24
BAIS SARAH SCHOOL,CONGREGATION MACHNE CHAIM INC.,6101,16TH   AVENUE,BROOKLYN,11204,"6101 16TH   AVENUE,BROOKLYN 11204",OK,6101 16 AVENUE,BROOKLYN,11204,311,BK4,40.624186,-73.99263,3055240001,718-871-7571,,1/23/2115,Active,2 YEARS - 5 YEARS,160,DC21171,PRESCHOOL,SBCC,School Based Child Care,3132384,,,,0,45.1817,12,8.0094,0,23.3017,0,35.2291,5,4,24
Bais Shifra,Bais Shifra,1681,42 STREET,BROOKLYN,11204,"1681 42 STREET,BROOKLYN 11204",OK,1681 42 STREET,BROOKLYN,11204,312,BK4,40.633895,-73.979651,3053810048,718-431-0509,,1/1/1900,Active,3 YEARS - 5 YEARS,0,DC38761,PRESCHOOL,SBCC,School Based Child Care,3126488,,,,100,45.1817,14,8.0094,100,23.3017,100,35.2291,8,4,136
BAIS SHIFRA INC.,BAIS SHIFRA INC.,1327,38TH ST,BROOKLYN,11218,"1327 38TH ST,BROOKLYN 11218",OK,1327 38 STREET,BROOKLYN,11218,312,BK4,40.640747,-73.98496,3053000062,718-431-2991,104827,5/23/2023,Permitted,2 YEARS - 5 YEARS,69,DC37567,PRESCHOOL,GDC,Child Care - Pre School,3328346,,5/23/2019,Y,50,21.905,5,11.9769,0,6.1285,50,18.9541,5,1,17
BAIS TZIPORACH INC.,BAIS TZIPORAH INC.,1449,39 STREET,BROOKLYN,11218,"1449 39 STREET,BROOKLYN 11218",OK,1449 39 STREET,BROOKLYN,11218,312,BK4,40.638647,-73.982997,3053470058,718-436-8336,,1/23/2115,Active,3 YEARS - 5 YEARS,0,DC22944,PRESCHOOL,SBCC,School Based Child Care,3328392,,,,,,0,8.0094,,,,,8,4,136
BAIS TZIPORAH SCHOOL,Bais Tziporah School,1410,39 STREET,BROOKLYN,11218,"1410 39 STREET,BROOKLYN 11218",OK,1410 39 STREET,BROOKLYN,11218,312,BK4,40.638996,-73.983609,3053467502,718-436-8336,,1/1/1900,Active,3 YEARS - 5 YEARS,0,DC40689,PRESCHOOL,SBCC,School Based Child Care,3124936,,,,0,45.1817,0,8.0094,0,23.3017,0,35.2291,8,4,136
BAIS YAAKOV ACADEMY FOR GIRLS,BAIS YAAKOV ACADEMY FOR GIRLS,124-50,METROPOLITAN AVENUE,QUEENS,11415,"124-50 METROPOLITAN AVENUE,QUEENS 11415",OK,124-50 METROPOLITAN AVENUE,QUEENS,11415,409,QN4,40.704865,-73.827303,4092400012,718-847-5352,,1/23/2115,Active,3 YEARS - 5 YEARS,0,DC2948,PRESCHOOL,SBCC,School Based Child Care,4438584,,,,0,45.1817,21,8.0094,0,23.3017,0,35.2291,8,4,136
BAIS YAAKOV ACADEMY PRESCHOOL,BAIS YAAKOV ACADEMY,1213,ELM AVENUE,BROOKLYN,11230,"1213 ELM AVENUE,BROOKLYN 11230",OK,1213 ELM AVENUE,BROOKLYN,11230,314,BK5,40.616988,-73.962457,3067410012,718-339-4747,,1/23/2115,Active,2 YEARS - 5 YEARS,0,DC523,PRESCHOOL,SBCC,School Based Child Care,3180784,,,,,,19,8.0094,,,,,5,4,24
BAIS YAAKOV D'CHASSIDEI GUR/UPK,BAIS YAAKOV D'CHASSIDEI GUR/UPK,1975,51 STREET,BROOKLYN,11204,"1975 51 STREET,BROOKLYN 11204",OK,1975 51 STREET,BROOKLYN,11204,312,BK4,40.62465,-73.977946,3054620045,718-833-8560,,1/23/2115,Active,3 YEARS - 5 YEARS,0,DC1060,PRESCHOOL,SBCC,School Based Child Care,3129528,,,,0,45.1817,4,8.0094,0,23.3017,0,35.2291,8,4,136
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169,43RD STREET,BROOKLYN,11219,"1169 43RD STREET,BROOKLYN 11219",OK,1169 43 STREET,BROOKLYN,11219,312,BK4,40.640281,-73.991741,3055970053,718-435-5111,8262,1/24/2023,Expired-In Renewal,0 YEARS - 2 YEARS,16,DC20809,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3135866,,1/24/2011,Y,0,17.4391,16,8.4034,0,4.9984,0,15.3835,6,2,34
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169,43RD STREET,BROOKLYN,11219,"1169 43RD STREET,BROOKLYN 11219",OK,1169 43 STREET,BROOKLYN,11219,312,BK4,40.640281,-73.991741,3055970053,718-435-5111,40417,5/16/2023,Permitted,2 YEARS - 5 YEARS,62,DC25392,PRESCHOOL,GDC,Child Care - Pre School,3135866,,5/16/2013,Y,0,21.905,19,11.9769,0,6.1285,0,18.9541,5,1,17
BAIS YAAKOV OF 18 AVENUE,BAIS YAAKOV OF 18 AVENUE,4419,18 AVENUE,BROOKLYN,11204,"4419 18 AVENUE,BROOKLYN 11204",OK,4419 18 AVENUE,BROOKLYN,11204,312,BK4,40.630488,-73.977699,3054390035,718-663-6050,,1/23/2115,Active,2 YEARS - 5 YEARS,0,DC1068,PRESCHOOL,SBCC,School Based Child Care,3128727,,,,0,45.1817,4,8.0094,0,23.3017,0,35.2291,5,4,24
BAIS YAKOV OF ADAS YEREIM,BAIS YAKOV OF ADAS YEREIM,184,NOSTRAND AVENUE,BROOKLYN,11205,"184 NOSTRAND AVENUE,BROOKLYN 11205",OK,184 NOSTRAND AVENUE,BROOKLYN,11205,303,BK1,40.693959,-73.952291,3017530042,718-302-7500,105927,1/1/1900,Active,3 YEARS - 5 YEARS,0,DC42078,PRESCHOOL,SBCC,School Based Child Care,3048591,,,,,,12,8.0094,,,,,8,4,136
BAIS YAKOV OF ADAS YEREIM,BAIS YAKOV DKHAL ADAS YEREIM,563,BEDFORD AVENUE,BROOKLYN,11211,"563 BEDFORD AVENUE,BROOKLYN 11211",OK,563 BEDFORD AVENUE,BROOKLYN,11211,301,BK1,40.704135,-73.96112,3021930007,718-302-7500,,7/23/2117,Active,3 YEARS - 5 YEARS,0,DC24911,PRESCHOOL,SBCC,School Based Child Care,3060116,,,,0,45.1817,6,8.0094,0,23.3017,0,35.2291,8,4,136
BAM BAM'S PLAYHOUSE INFANT/TODDLER,"BAM BAM'S PLAYHOUSE,INC.",714,BANNER AVENUE,BROOKLYN,11235,"714 BANNER AVENUE,BROOKLYN 11235",OK,714 BANNER AVENUE,BROOKLYN,11235,313,BK5,40.583372,-73.960816,3072640045,718-332-3974,8320,6/10/2023,Permitted,0 YEARS - 2 YEARS,10,DC21577,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3196537,,6/10/2011,Y,20,17.4391,4,8.4034,0,4.9984,20,15.3835,6,2,34
BAMBI ACADEMY,BIG APPLE INSTITUTE INC.,2937,86TH STREET,BROOKLYN,11223,"2937 86TH STREET,BROOKLYN 11223",OK,2937 86 STREET,BROOKLYN,11223,315,BK5,40.590568,-73.974987,3071700042,718-333-0300,,1/23/2115,Active,2 YEARS - 5 YEARS,0,DC21295,PRESCHOOL,SBCC,School Based Child Care,3194355,,,,,,12,8.0094,,,,,5,4,24
BAMBI CHILD CARE (PRESCHOOL),BAMBI CHILD CARE 2 INC.,1218,PROSPECT AVENUE,BROOKLYN,11218,"1218 PROSPECT AVENUE,BROOKLYN 11218",OK,1218 PROSPECT AVENUE,BROOKLYN,11218,307,BK2,40.653355,-73.97621,3052740009,718-499-2299,13877,1/24/2024,Permitted,2 YEARS - 5 YEARS,20,DC21648,PRESCHOOL,GDC,Child Care - Pre School,3413864,bambichildcare.com,3/22/2012,Y,20,21.905,4,11.9769,0,6.1285,20,18.9541,5,1,17
BAMBI CHILD CARE 2 INC,BAMBI CHILD CARE 2 INC.,1218,PROSPECT AVENUE,BROOKLYN,11218,"1218 PROSPECT AVENUE,BROOKLYN 11218",OK,1218 PROSPECT AVENUE,BROOKLYN,11218,307,BK2,40.653355,-73.97621,3052740009,718-499-2299,13878,1/24/2024,Permitted,0 YEARS - 2 YEARS,8,DC21649,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3413864,bambichildcare.com,3/22/2012,Y,0,17.4391,4,8.4034,0,4.9984,0,15.3835,6,2,34
"BAMBI DAY CARE CENTER, INC",Bambi Day Care Center Inc,138,Hancock Street,BROOKLYN,11216,"138 Hancock Street,BROOKLYN 11216",OK,138 HANCOCK STREET,BROOKLYN,11216,303,BK1,40.682447,-73.950716,3018370052,516-315-0343,104522,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC37320,ALL AGE CAMP,Camp,Camp,3052608,,7/16/2018,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
"BAMBI DAY CARE CENTER, INC","Bambi Day Care Center, Inc",300,Rogers  Avenue,BROOKLYN,11225,"300 Rogers  Avenue,BROOKLYN 11225",OK,300 ROGERS AVENUE,BROOKLYN,11225,309,BK3,40.666084,-73.953652,3012950145,516-315-0343,104527,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC37316,ALL AGE CAMP,Camp,Camp,3034151,,7/20/2018,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
BAMBI DAY CARE I V,B.E.C.E.C. INC.,405,81 STREET,BROOKLYN,11209,"405 81 STREET,BROOKLYN 11209",OK,405 81 STREET,BROOKLYN,11209,310,BK4,40.626187,-74.02632,3059890001,718-645-7010,,1/23/2115,Active,3 YEARS - 5 YEARS,0,DC21786,PRESCHOOL,SBCC,School Based Child Care,3328847,,,,0,45.1817,0,8.0094,0,23.3017,0,35.2291,8,4,136
BAMBI DAY CARE II,BAMBI EARLY CHILDHOOD EDUCATIONAL CENTER,2121,BRAGG STREET,BROOKLYN,11229,"2121 BRAGG STREET,BROOKLYN 11229",OK,2121 BRAGG STREET,BROOKLYN,11229,315,BK5,40.600261,-73.936041,3073690068,718-648-3332,,1/23/2115,Active,3 YEARS - 5 YEARS,156,DC144,PRESCHOOL,SBCC,School Based Child Care,3200516,www.bambiacademy.com,,,66.6667,45.1817,15,8.0094,66.6667,23.3017,33.3333,35.2291,8,4,136
BAMBI DAY CARE III,B.E.C.E.C. INC.,2114,BROWN STREET,BROOKLYN,11229,"2114 BROWN STREET,BROOKLYN 11229",OK,2114 BROWN STREET,BROOKLYN,11229,315,BK5,40.600126,-73.93988,3073640011,718-368-1817,,1/23/2115,Active,3 YEARS - 5 YEARS,136,DC741,PRESCHOOL,SBCC,School Based Child Care,3200302,www.bambiacademy.com,,,100,45.1817,23,8.0094,100,23.3017,100,35.2291,8,4,136
"BAMBI DAY CARE, INC.","BAMBI DAY CARE, INC.",300,ROGERS AVENUE,BROOKLYN,11225,"300 ROGERS AVENUE,BROOKLYN 11225",OK,300 ROGERS AVENUE,BROOKLYN,11225,309,BK3,40.666084,-73.953652,3012950145,718-771-1603,4879,1/17/2024,Permitted,2 YEARS - 5 YEARS,39,DC1795,PRESCHOOL,GDC,Child Care - Pre School,3034151,www.bambidcc.com,5/27/1987,Y,0,21.905,6,11.9769,0,6.1285,0,18.9541,5,1,17
BAMBI EARLY CHILDHOOD EDUCATIONAL CENTER,B.E.C.E.C. INC.,1981,HOMECREST AVENUE,BROOKLYN,11229,"1981 HOMECREST AVENUE,BROOKLYN 11229",OK,1981 HOMECREST AVENUE,BROOKLYN,11229,315,BK5,40.601446,-73.959725,3072910134,718-645-7010,,1/23/2115,Active,3 YEARS - 5 YEARS,90,DC753,PRESCHOOL,SBCC,School Based Child Care,3196710,www.bambiacademy.com,,,50,45.1817,19,8.0094,50,23.3017,50,35.2291,8,4,136
BANK STREET COLLEGE FAMILY CENTER,BANK STREET COLLEGE FAMILY CENTER,610,WEST 112 STREET,MANHATTAN,10025,"610 WEST 112 STREET,MANHATTAN 10025",OK,610 WEST  112 STREET,MANHATTAN,10025,109,MN7,40.805626,-73.966197,1018940056,212-875-4412,5728,10/31/2022,Expired-In Renewal,2 YEARS - 5 YEARS,50,DC2207,PRESCHOOL,GDC,Child Care - Pre School,1057331,www.bankstreet.edu,10/7/2004,N,33.3333,21.905,4,11.9769,0,6.1285,33.3333,18.9541,5,1,17
BANK STREET COLLEGE OF EDUCATION,BANK STREET COLLEGE OF EDUCATION,535,EAST 5TH STREET,MANHATTAN,10009,"535 EAST 5TH STREET,MANHATTAN 10009",OK,535 EAST    5 STREET,MANHATTAN,10009,103,MN2,40.724484,-73.983487,1004010046,212-875-4734,72979,9/5/2024,Permitted,2 YEARS - 5 YEARS,68,DC26179,PRESCHOOL,GDC,Child Care - Pre School,1087322,,9/5/2014,Y,16.6667,21.905,13,11.9769,0,6.1285,16.6667,18.9541,5,1,17
BANK STREET SUMMER CAMP,BANK STREET SCHOOL FOR CHILDREN,610,WEST 112 STREET,MANHATTAN,10025,"610 WEST 112 STREET,MANHATTAN 10025",OK,610 WEST  112 STREET,MANHATTAN,10025,109,MN7,40.805626,-73.966197,1018940056,212-875-4705,34219,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,500,DC23378,ALL AGE CAMP,Camp,Camp,1057331,www.bankstreet.edu/camp,5/29/2013,N,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
BARBEY PREP INC.,BARBEY PREP INC.,683,BARBEY STREET,BROOKLYN,11207,"683 BARBEY STREET,BROOKLYN 11207",OK,683 BARBEY STREET,BROOKLYN,11207,305,BK3,40.665592,-73.885673,3040917501,347-392-3232,105921,3/2/2025,Permitted,0 YEARS - 2 YEARS,30,DC41892,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3398467,,3/2/2023,Y,,,1,8.4034,,,,,6,2,34
BARBEY PREP INC.,BARBEY PREP INC.,683,BARBEY ST,BROOKLYN,11207,"683 BARBEY ST,BROOKLYN 11207",OK,683 BARBEY STREET,BROOKLYN,11207,305,BK3,40.665592,-73.885673,3040917501,347-392-3232,105920,3/2/2025,Permitted,2 YEARS - 5 YEARS,45,DC41888,PRESCHOOL,GDC,Child Care - Pre School,3398467,,3/2/2023,Y,,,1,11.9769,,,,,5,1,17
BARKAI YESHIVAH,BARKAI YESHIVAH,5302,21 AVENUE,BROOKLYN,11204,"5302 21 AVENUE,BROOKLYN 11204",OK,5302 21 AVENUE,BROOKLYN,11204,312,BK4,40.622029,-73.976845,3054951138,718-998-7473,,1/23/2115,Active,2 YEARS - 5 YEARS,0,DC81,PRESCHOOL,SBCC,School Based Child Care,3131092,,,,,,0,8.0094,,,,,5,4,24
BARNARD COLLEGE,BARNARD COLLEGE,606,WEST 120 STREET,MANHATTAN,10027,"606 WEST 120 STREET,MANHATTAN 10027",OK,606 WEST  120 STREET,MANHATTAN,10027,109,MN7,40.810708,-73.962503,1019890050,212-854-8275,105895,1/10/2025,Permitted,2 YEARS - 5 YEARS,15,DC41386,PRESCHOOL,GDC,Child Care - Pre School,1059816,https://toddlers.barnard.edu/,1/10/2023,Y,,,7,11.9769,,,,,5,1,17
BARROW STREET NURSERY SCHOOL AT GREENWICH HOUSE,BARROW STREET NURSERY SCHOOL @ GREENWICH HOUSE,27,BARROW STREET,MANHATTAN,10014,"27 BARROW STREET,MANHATTAN 10014",OK,27 BARROW STREET,MANHATTAN,10014,102,MN1B,40.732486,-74.00311,1005900056,212-633-1203,4963,10/26/2024,Permitted,2 YEARS - 5 YEARS,96,DC12261,PRESCHOOL,GDC,Child Care - Pre School,1010159,www.greenwichhouse.org/nursery_school/index,1/18/1983,Y,0,21.905,27,11.9769,0,6.1285,0,18.9541,5,1,17
"BARUCH COLLEGE EARLY LEARNING CENTER, INC.",BARUCH COLLEGE EARLY LEARNING CENTER,104,EAST 19 STREET,MANHATTAN,10003,"104 EAST 19 STREET,MANHATTAN 10003",OK,104 EAST   19 STREET,MANHATTAN,10003,105,MN3,40.737391,-73.987374,1008740001,212-387-1420,5325,11/13/2023,Permitted,2 YEARS - 5 YEARS,30,DC2685,PRESCHOOL,GDC,Child Care - Pre School,1017861,www.baruch.cuny.edu/studentaffairs/studentlife,10/31/2003,N,0,21.905,5,11.9769,0,6.1285,0,18.9541,5,1,17
BASIC TRUST,"MILLER DAY CARE CENTER, INC.",127,WEST 94TH STREET,MANHATTAN,10025,"127 WEST 94TH STREET,MANHATTAN 10025",OK,127 WEST   94 STREET,MANHATTAN,10025,107,MN5,40.792024,-73.969552,1012250021,212-222-6602,103795,9/2/2022,Expired-In Renewal,0 YEARS - 2 YEARS,18,DC22985,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1032559,www.basictrust.org,9/2/2016,Y,40,17.4391,10,8.4034,0,4.9984,40,15.3835,6,2,34
BASIC TRUST,"MILLER DAY CARE CENTER, INC.",127,West  94  Street,MANHATTAN,10025,"127 West  94  Street,MANHATTAN 10025",OK,127 WEST   94 STREET,MANHATTAN,10025,107,MN5,40.792024,-73.969552,1012250021,212-222-6602,103794,9/2/2022,Expired-In Renewal,2 YEARS - 5 YEARS,27,DC34184,PRESCHOOL,GDC,Child Care - Pre School,1032559,www.basictrust.org,9/2/2016,Y,66.6667,21.905,8,11.9769,0,6.1285,66.6667,18.9541,5,1,17
BASIN PREP,"KLEVER KIDZ, LLC",6085,STRICKLAND  AVENUE,BROOKLYN,11234,"6085 STRICKLAND  AVENUE,BROOKLYN 11234",OK,6085 STRICKLAND AVENUE,BROOKLYN,11234,318,BK3,40.611346,-73.912998,3084701080,718-872-5511,103596,3/30/2024,Permitted,2 YEARS - 5 YEARS,114,DC32421,PRESCHOOL,GDC,Child Care - Pre School,3343230,,3/30/2016,Y,0,21.905,19,11.9769,0,6.1285,0,18.9541,5,1,17
BASIN PREP II LLC,BASIN PREP II LLC,271,SEABREEZE AVENUE 3rd floor,BROOKLYN,11224,"271 SEABREEZE AVENUE 3rd floor,BROOKLYN 11224",OK,271 SEABREEZE AVENUE,BROOKLYN,11224,313,BK5,40.575929,-73.971926,:,646-829-7969,105461,8/3/2023,Permitted,2 YEARS - 5 YEARS,124,DC40109,PRESCHOOL,GDC,Child Care - Pre School,3000000,www.Basinprep.com,8/3/2021,Y,0,21.905,4,11.9769,0,6.1285,0,18.9541,5,1,17
BASIS Independent Brooklyn,BASIS INDEPENDENT SCHOOLS LLC,556,COLUMBIA ST,BROOKLYN,11231,"556 COLUMBIA ST,BROOKLYN 11231",OK,556 COLUMBIA STREET,BROOKLYN,11231,306,BK2,40.672944,-74.009085,3006010017,917-473-1615,105333,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC40250,ALL AGE CAMP,Camp,Camp,3413958,brooklyn.basisindependent.com,5/12/2021,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
BASIS Independent Brooklyn,BASIS Independent Brooklyn,556,COLUMBIA ST,BROOKLYN,11231,"556 COLUMBIA ST,BROOKLYN 11231",OK,556 COLUMBIA STREET,BROOKLYN,11231,306,BK2,40.672944,-74.009085,3006010017,917--47-3-16,,1/1/1900,Active,3 YEARS - 5 YEARS,0,DC38401,PRESCHOOL,SBCC,School Based Child Care,3413958,,,,,,0,8.0094,,,,,8,4,136
BASIS INDEPENDENT MANHATTAN,BASIS Independent Manhattan,795,COLUMBUS AVENUE,MANHATTAN,10025,"795 COLUMBUS AVENUE,MANHATTAN 10025",OK,795 COLUMBUS AVENUE,MANHATTAN,10025,107,MN5,40.794559,-73.966272,1018337506,347-305-4960,,1/1/1900,Active,3 YEARS - 5 YEARS,0,DC36458,PRESCHOOL,SBCC,School Based Child Care,1088631,,,,0,45.1817,0,8.0094,0,23.3017,0,35.2291,8,4,136
BATTALION CHRISTIAN ACADEMY,BATTALION CHRISTIAN ACADEMY,661,LINDEN BOULEVARD,BROOKLYN,11203,"661 LINDEN BOULEVARD,BROOKLYN 11203",OK,661 LINDEN BOULEVARD,BROOKLYN,11203,317,BK3,40.653599,-73.93403,3048670025,718-774-5447,,1/23/2115,Active,3 YEARS - 5 YEARS,58,DC423,PRESCHOOL,SBCC,School Based Child Care,3108481,bcabrooklyn.org,,,0,45.1817,12,8.0094,0,23.3017,0,35.2291,8,4,136
BATTALION CHRISTIAN ACADEMY,BATTALION CHRISTIAN ACADEMY,454,BEACH 67 STREET,QUEENS,11692,"454 BEACH 67 STREET,QUEENS 11692",OK,454 BEACH   67 STREET,QUEENS,11692,414,QN4,40.593999,-73.796263,4160400024,718-634-7172,72877,9/3/2024,Permitted,2 YEARS - 5 YEARS,33,DC32082,PRESCHOOL,GDC,Child Care - Pre School,4438906,,9/3/2014,Y,25,21.905,1,11.9769,0,6.1285,25,18.9541,5,1,17
"BATTERY PARK CITY DAY NURSERY, INC.","BATTERY PARK CITY DAY NURSERY, INC.",215,SOUTH END AVENUE,MANHATTAN,10280,"215 SOUTH END AVENUE,MANHATTAN 10280",OK,215 SOUTH END AVENUE,MANHATTAN,10280,101,MN1A,40.709523,-74.016679,1000167518,212-945-0088,5249,6/4/2024,Permitted,2 YEARS - 5 YEARS,84,DC2219,PRESCHOOL,GDC,Child Care - Pre School,1000055,www.bpcdaynursery.com,6/4/2004,N,0,21.905,17,11.9769,0,6.1285,0,18.9541,5,1,17
"BATTERY PARK CITY DAY NURSERY, INC.","BATTERY PARK CITY DAY NURSERY, INC.",215,SOUTH END AVENUE,MANHATTAN,10280,"215 SOUTH END AVENUE,MANHATTAN 10280",OK,215 SOUTH END AVENUE,MANHATTAN,10280,101,MN1A,40.709523,-74.016679,1000167518,212-945-0088,5233,7/3/2023,Permitted,0 YEARS - 2 YEARS,20,DC14373,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1000055,www.bpcdaynursey.com,6/16/2005,N,0,17.4391,10,8.4034,0,4.9984,0,15.3835,6,2,34
BATTERY PARK MONTESSORI,Green Ivy Battery Park,21,SOUTH END AVENUE,MANHATTAN,10280,"21 SOUTH END AVENUE,MANHATTAN 10280",OK,21 SOUTH END AVENUE,MANHATTAN,10280,101,MN1A,40.708142,-74.017616,1000167509,212-235-2320,105620,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,50,DC41001,ALL AGE CAMP,Camp,Camp,1075698,,4/28/2022,Y,100,26.8868,0,1,0,14.2558,100,21.8553,7,3,68
